Date,Predicted_Price,Lower_Bound,Upper_Bound
2026-01-02,52.43,48.38,56.64
2026-01-05,52.64,48.49,56.84
2026-01-06,52.63,48.75,57.01
2026-01-07,52.67,48.39,56.62
2026-01-08,52.55,48.18,56.6
2026-01-09,52.52,48.73,56.97
2026-01-12,52.34,48.33,56.58
2026-01-13,52.21,48.18,56.23
2026-01-14,52.14,47.81,56.58
2026-01-15,51.91,47.87,56.43
2026-01-16,51.78,47.43,55.96
2026-01-17,50.35,46.27,54.62
2026-01-18,50.2,45.96,54.2
2026-01-19,51.41,47.23,55.61
2026-01-20,51.24,47.06,55.17
2026-01-21,51.15,46.77,55.57
2026-01-22,50.92,46.99,55.22
2026-01-23,50.8,46.86,55.05
2026-01-24,49.39,45.37,53.25
2026-01-25,49.29,45.09,53.44
2026-01-26,50.55,46.24,54.65
2026-01-27,50.45,46.19,54.84
2026-01-28,50.44,46.56,54.67
2026-01-29,50.29,46.11,54.6
2026-01-30,50.27,46.15,54.63
2026-01-31,48.96,44.57,52.88
2026-02-01,48.96,45.0,53.32
2026-02-02,50.32,46.2,54.44
2026-02-03,50.32,46.25,54.0
2026-02-04,50.41,46.13,54.6
2026-02-05,50.36,46.05,54.48
2026-02-06,50.42,46.16,54.63
2026-02-07,49.2,44.75,53.12
2026-02-08,49.27,45.17,53.44
2026-02-09,50.69,46.3,55.15
2026-02-10,50.76,46.4,55.32
2026-02-11,50.88,46.93,55.08
2026-02-12,50.87,46.74,54.81
2026-02-13,50.96,46.96,55.26
2026-02-14,49.74,45.68,53.81
2026-02-15,49.81,45.67,54.19
2026-02-16,51.23,47.4,55.28
2026-02-17,51.27,47.07,55.63
2026-02-18,51.38,46.95,55.57
2026-02-19,51.33,46.99,55.45
2026-02-20,51.38,47.05,55.87
2026-02-21,50.12,46.1,54.02
2026-02-22,50.15,45.94,54.18
2026-02-23,51.52,47.11,55.66
2026-02-24,51.52,47.31,55.75
2026-02-25,51.58,47.4,55.66
2026-02-26,51.49,47.31,55.43
2026-02-27,51.5,47.27,55.45
2026-02-28,50.2,46.0,54.17
2026-03-01,50.2,46.16,54.13
2026-03-02,51.55,47.38,55.49
2026-03-03,51.53,47.31,55.8
2026-03-04,51.57,47.67,55.38
2026-03-05,51.47,46.82,55.29
2026-03-06,51.48,46.98,55.93
2026-03-07,50.19,45.89,54.14
2026-03-08,50.19,45.68,54.42
2026-03-09,51.55,47.62,55.64
2026-03-10,51.55,47.12,55.62
2026-03-11,51.61,47.55,55.51
2026-03-12,51.54,47.23,55.44
2026-03-13,51.57,47.65,55.84
2026-03-14,50.31,46.2,54.23
2026-03-15,50.34,46.18,54.39
2026-03-16,51.73,47.48,55.92
2026-03-17,51.75,47.43,55.84
2026-03-18,51.84,47.5,56.01
2026-03-19,51.8,47.64,55.85
2026-03-20,51.85,47.68,56.14
2026-03-21,50.61,46.46,54.69
2026-03-22,50.67,46.53,54.6
2026-03-23,52.07,47.78,56.35
2026-03-24,52.11,47.75,56.43
2026-03-25,52.21,48.19,56.28
2026-03-26,52.18,47.9,56.25
2026-03-27,52.24,47.93,56.28
2026-03-28,51.01,46.65,55.16
2026-03-29,51.07,46.96,55.35
2026-03-30,52.48,48.49,56.92
2026-03-31,52.52,48.1,56.8
